MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,-0.5196428571428571,10.469642857142857,-9.4,13.700000000000001,77.94727272727272
2,-0.1600000000000001,10.196363636363639,-8.9,16.2,55.53636363636362
3,1.1836363636363636,12.681818181818183,-4.9,20.200000000000003,52.08333333333334
4,2.575925925925926,15.846296296296293,-2.0,25.0,43.37962962962962
5,5.803636363636364,19.747272727272726,0.5,27.400000000000002,40.57454545454546
6,9.410909090909092,22.42407407407407,4.0,32.1,42.537037037037045
7,11.924074074074074,24.107547169811312,6.0,31.700000000000003,42.16415094339622
8,11.782692307692308,23.550000000000004,7.300000000000001,32.4,47.85576923076923
9,9.373584905660376,21.16037735849057,1.2000000000000002,27.6,58.07735849056604
10,6.137037037037038,17.46666666666667,-0.2,22.400000000000002,81.21666666666664
11,2.2547169811320753,13.866037735849059,-4.6000000000000005,17.5,81.21730769230771
12,0.1301886792452831,11.516981132075474,-8.6,14.9,79.6764705882353
