MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-6.373214285714285,10.246428571428577,49.94464285714286
2,-4.969642857142857,12.332142857142852,45.6375
3,-2.821428571428572,17.39107142857143,47.09464285714286
4,0.11818181818181815,21.279999999999998,57.45636363636363
5,5.0218181818181815,25.41090909090909,81.54181818181819
6,8.870909090909091,28.8709090909091,77.52181818181818
7,10.463636363636363,30.945454545454545,69.93090909090911
8,10.03090909090909,30.738181818181825,74.16363636363636
9,6.196363636363636,26.083636363636362,59.04181818181819
10,2.3272727272727276,21.29090909090909,63.14909090909093
11,-1.7800000000000005,14.48363636363637,58.98909090909091
12,-4.983636363636363,11.154545454545454,59.69818181818183
