MONTH,TMIN_P10,TMAX_P90,PRCP_SUM
1,-0.5625000000000001,12.990384615384622,46.99821428571427
2,-0.7,13.844230769230771,61.894642857142856
3,1.2625,17.83137254901961,92.96785714285716
4,6.107142857142856,23.298039215686277,109.8464285714286
5,11.123214285714289,26.803999999999995,128.86249999999998
6,16.333928571428576,29.6392156862745,216.91071428571425
7,21.362500000000004,33.476000000000006,187.00357142857152
8,22.603571428571428,33.86666666666667,107.95357142857144
9,17.474545454545456,31.506000000000004,134.9745454545455
10,10.601818181818182,26.53529411764706,101.0490909090909
11,5.1454545454545455,21.52,67.5690909090909
12,1.292727272727273,16.002083333333335,48.24545454545454
