MONTH,TMIN_P10,TMAX_P90,TMIN_MIN,TMAX_MAX,PRCP_SUM
1,11.024242424242425,21.98484848484848,0.0,26.1,114.669696969697
2,10.96875,22.571875,1.1,27.8,131.52500000000003
3,12.29375,24.615624999999998,7.2,28.900000000000002,172.21875
4,15.251515151515155,27.090909090909086,-6.1000000000000005,31.1,173.72121212121215
5,18.834375,29.21249999999999,2.2,32.2,241.64999999999998
6,21.79354838709677,31.361290322580654,13.9,35.0,228.70967741935488
7,24.915625000000002,32.55625,-2.8000000000000003,35.0,184.903125
8,24.645454545454545,32.13939393939394,-3.9000000000000004,35.0,243.6939393939394
9,23.144117647058817,31.602941176470594,17.8,35.0,223.88529411764708
10,19.79705882352941,29.314705882352932,17.2,32.800000000000004,165.86470588235298
11,16.523529411764713,26.797058823529422,12.200000000000001,31.1,116.87058823529412
12,13.170588235294119,23.761764705882346,8.9,27.8,105.61764705882355
